C1,C2,C3,C4,C5,C6,C7,C8,C9,Class
UOD,50.29833848037487,-62.34626336688264,EKT,4.917317611400456,-24.007771409855028,BWA,QRH,TWF,1
UOD,49.34680461815642,-48.76714002266896,XAT,4.902126577721032,-25.545356363725375,YNZ,PBH,TWF,1
KYG,50.39623028858689,-50.36246591788812,DVR,5.012604221331262,-20.64059380434138,ETX,QRH,TWF,1
KYG,50.32274171853892,-40.9278413402899,EKT,5.127599893605718,-16.157332151780047,BWA,PBH,UUF,1
PCI,49.858932615001834,-57.01498887939586,YEX,4.86833991445987,-8.605191616779692,XBF,OOR,CFE,1
WZK,49.63467337566613,-54.285539426829345,DVR,4.757473219936556,-16.481803773438237,ETX,PBH,CYL,1
BIPF,0.23209705399383648,4.4408364769992055,QNGA,-0.10615657864344696,4.398262029744322,WDXB,TCYK,OIXK,0
KYG,50.05379879764706,-52.068421973442256,EKT,5.048431556582448,-23.877225924510977,BWA,PBH,TWF,1
RQQQ,-0.07335989771811703,9.002822536402991,YJCV,-0.5338600571256475,14.784947704486038,WDXB,TCYK,OIXK,0
BIPF,-0.25087159639128914,14.48392273892418,YJCV,-0.006368667215719713,-9.703666202041457,WDXB,TCYK,LQNP,0
RQQQ,0.3174095398039826,3.1392502191887384,YJCV,0.18087362691243775,14.06879461521867,CZFB,TCYK,LQNP,0
OMX,50.34342768993795,-36.440365901788425,MLR,4.923071821145904,-22.067266767481073,XBF,OOR,EAM,1
WZK,49.58935511937267,-53.04665937839395,XAT,5.522079817547189,-13.501973257925313,YNZ,SVZ,TWF,1
RQQQ,0.3885121453825771,-16.23824465053288,YJCV,0.6890405498956457,13.73034530416878,WDXB,TCYK,OIXK,0
RQQQ,0.2837102539785601,16.858292582487472,YJCV,-0.7310493373274289,-3.537246567975561,CZFB,TCYK,OIXK,0
BIPF,-0.10010194969592796,-7.74061924415192,QNGA,-0.386558787238408,3.5266856200186343,WDXB,TCYK,OIXK,0
WZK,50.37732154579003,-39.05253449360673,XAT,5.1821311602226485,-11.276704912735832,ETX,SVZ,UUF,1
KYG,50.225539455167905,-54.439351305284276,DVR,4.7933465006491005,-20.408859874800225,BWA,SVZ,CYL,1
KYG,49.44877961298267,-43.19695893484204,XAT,5.548051057565582,-19.23571412129358,YNZ,QRH,CYL,1
RQQQ,0.02578149391661985,12.963494308178316,YJCV,-0.14321479727078754,3.1605687835860397,CZFB,TCYK,OIXK,0
BIPF,-0.15863229430926104,-2.132502041846826,QNGA,0.6451142358990146,22.76061836262443,CZFB,MLTK,LQNP,0
WZK,49.62839856459966,-59.90444200942655,DVR,4.152939236492877,-27.476259392151736,BWA,SVZ,UUF,1
BIPF,-0.23331301108442223,-8.2574778511554,QNGA,-0.559658612793424,-7.095695576345429,WDXB,MLTK,OIXK,0
UOD,49.75865456422851,-47.30038761582981,DVR,4.437216333325417,-8.794071093012972,YNZ,QRH,UUF,1
UOD,50.142225325984086,-48.625185963965905,DVR,4.1562785838768255,-23.052135842813968,YNZ,QRH,UUF,1
BIPF,0.006989514045442346,3.073550520804556,QNGA,-0.1333647054758847,9.899866718987008,CZFB,TCYK,LQNP,0
KYG,50.48112237285543,-47.440352649281834,XAT,4.755439620210819,-32.07571421978476,ETX,QRH,CYL,1
WZK,49.80471780827055,-50.81356252507339,EKT,5.290772988550452,-24.318618218373935,BWA,PBH,CYL,1
RQQQ,-0.1811324784659806,-2.765910231050603,YJCV,-0.2499181698299571,16.990127049048585,CZFB,MLTK,OIXK,0
BIPF,-0.03741041522958884,-7.954657893896653,YJCV,-0.2251678019300095,-0.6241552557908202,WDXB,TCYK,LQNP,0
QKK,49.990843739295116,-49.19996715578535,MLR,4.780172497003881,-32.09174126015901,XAB,HZP,KFB,1
PCI,50.22219588715569,-46.08884218754434,MLR,4.39105163454804,-17.8051692220357,XBF,OOR,CFE,1
BIPF,0.22785206704202102,7.313364962301825,YJCV,0.29104611793869384,-8.007367153631115,CZFB,TCYK,LQNP,0
QKK,49.80946128741639,-26.133566356910528,MDX,4.719393151830346,-20.005141883533323,XBF,OOR,KFB,1
WZK,50.15237447982544,-46.74818196346743,DVR,5.290324358821493,-15.033658818071682,ETX,SVZ,CYL,1
KYG,50.072521621185345,-53.609336583377306,DVR,4.785889080675903,-17.681172763829764,ETX,PBH,CYL,1
RQQQ,0.2485745130651807,7.689317793517898,QNGA,-0.3186614259064233,-1.0705367957169571,WDXB,TCYK,OIXK,0
